NUMERO;DNI;NOMBRE;APELLIDO;MILLAS
1;35640137;Juan;García;778
2;29763035;Pablo;Fernández;1966
3;28536262;Federico;González;375
4;28651744;Jose;Rodríguez;1749
5;34212848;Juan;López;1302
6;32931824;Luis;Martínez;443
7;35938225;Alberto;Sánchez;367
8;29277262;Mauricio;Pérez;1758
9;28240795;Cristina;Martín;770
10;33571750;Eduardo;Gómez;1263
11;30903063;Teo;Ruíz;1980
12;30913743;Valentina;Smith;1136
13;29079357;Lola;Johnson;621
14;34157234;Sandra;Williams;809
15;30565688;Anibal;Brown;1582
16;28658292;Rocio;Jones;268
17;33232379;Elena;Miller;1460
18;28156911;Jacinta;Davis;1850
19;30798790;Argentina;Jacamo;105
20;33412296;Humberto;Castro;267
